cutoff,mean_simulated_delta,frac_gate_open,pct_improved,pct_worsened
0.3237967491149902,0.0,0.0,0.0,0.0
0.34070183336734766,0.001221994876861572,0.004,0.4,0.0
0.35760691761970514,0.0018062393665313717,0.008,0.8,0.0
0.3745120018720626,0.00309397593140602,0.016,1.6,0.0
0.3914170861244201,0.0033142482340335834,0.02,2.0,0.0
0.4083221703767776,0.0033142482340335834,0.024,2.0,0.0
0.4252272546291351,0.003271912366151808,0.032,2.4,0.4
0.44213233888149256,0.003271912366151808,0.036,2.4,0.4
0.45903742313385004,0.003271912366151808,0.04,2.4,0.4
0.4759425073862075,0.006414460271596908,0.044,2.8000000000000003,0.4
0.492847591638565,0.005270021826028823,0.06,2.8000000000000003,2.0
0.5097526758909225,0.0043404664099216455,0.068,2.8000000000000003,2.4
0.52665776014328,0.004131912946701049,0.092,3.5999999999999996,4.0
0.5435628443956375,0.0046939756870269765,0.112,4.8,4.0
0.560467928647995,0.004891479253768919,0.124,5.2,4.3999999999999995
0.5773730129003525,0.0060738985538482644,0.144,6.0,4.8
0.59427809715271,0.007629422485828398,0.176,7.199999999999999,5.2
0.6111831814050674,0.009219681560993193,0.196,8.4,5.6000000000000005
0.6280882656574249,0.009342335879802701,0.216,8.799999999999999,6.0
0.6449933499097824,0.010208809792995452,0.22,9.2,6.0
0.6618984341621399,0.010626279294490813,0.244,10.4,6.800000000000001
0.6788035184144974,0.009136882722377776,0.28,10.4,8.799999999999999
0.6957086026668549,0.009136882722377776,0.312,10.4,8.799999999999999
0.7126136869192123,0.008774060428142548,0.344,11.200000000000001,9.6
0.7295187711715698,0.008644895046949387,0.376,12.4,10.4
0.7464238554239273,0.00907643124461174,0.408,14.000000000000002,11.200000000000001
0.7633289396762848,0.007468314617872238,0.432,14.399999999999999,12.4
0.7802340239286423,0.010125145763158797,0.468,16.0,13.200000000000001
0.7971391081809998,0.00820203599333763,0.496,16.0,15.6
0.8140441924333572,0.011183134853839875,0.528,17.599999999999998,16.8
0.8309492766857147,0.013708317697048188,0.584,20.0,18.0
0.8478543609380722,0.01138523656129837,0.62,20.8,19.2
0.8647594451904297,0.012746232092380523,0.648,21.6,19.6
0.8816645294427872,0.012288740694522855,0.688,22.8,21.2
0.8985696136951447,0.012608193188905714,0.708,23.200000000000003,21.6
0.9154746979475021,0.012797583132982253,0.736,24.4,22.400000000000002
0.9323797821998596,0.012767720013856888,0.756,24.4,22.8
0.9492848664522171,0.012333881527185439,0.8,26.400000000000002,24.0
0.9661899507045746,0.01192204141616821,0.856,27.6,26.400000000000002
0.9830950349569321,0.01226170241832733,0.9,29.599999999999998,28.000000000000004
1.0000001192092896,0.011231728315353394,0.984,30.4,32.0
