method,n,mean_method_cosine,mean_delta_cosine,pct_improved,pct_worsened,pct_unchanged,mean_delta_rouge,mean_delta_bertscore
baseline,250,0.6376611514240503,0.0,0.0,0.0,100.0,0.0,0.0
M1_global_feedback,250,0.6472914138957858,0.009630262471735474,44.4,48.4,7.199999999999999,0.013495512016207084,0.002677903175354005
M2_team_only_feedback,250,0.656788051635027,0.01887274576723576,45.6,46.400000000000006,8.0,0.01807048022602695,0.004138271570205691
M3_type_only_feedback,250,0.6409722655937076,0.0030569597259163866,42.0,50.4,7.6,-0.007531810935333736,-0.0012593257427215537
M4_team_type_feedback,250,0.6490256695896387,0.011110363721847535,30.8,32.4,36.8,0.004772520295026782,0.0008639872074127207
M5_team_type_static_gate_0.62,250,0.6472576417475939,0.009342335879802701,8.799999999999999,6.0,85.2,0.0028201189240161977,0.0013941924571990963
M5_team_type_static_gate_0.656,250,0.6481776713877916,0.010262365520000457,9.6,6.800000000000001,83.6,0.002976089105642326,0.0014281425476074213
M5_team_type_static_gate_0.7,250,0.647052188590169,0.009136882722377776,10.4,8.799999999999999,80.80000000000001,0.0015495365420078596,0.001164372682571411
MOracle_perfect_gate,250,0.677978210017085,0.040062904149293886,30.8,0.0,69.19999999999999,0.03042349684677663,0.006011927604675288
