method,mean_delta,ci_lo,ci_hi,n
baseline,0.0,0.0,0.0,250
M1_global_feedback,0.009630262471735474,-0.007259466036967929,0.028176070838421576,250
M2_team_only_feedback,0.01887274576723576,-0.0017479445036500682,0.040164118843898144,250
M3_type_only_feedback,0.0030569597259163866,-0.015468442284129556,0.023323793799430136,250
M4_team_type_feedback,0.011110363721847535,-0.0061996642455458655,0.03042586773484944,250
M5_team_type_static_gate_0.62,0.009342335879802701,-0.0012677616663277155,0.02090838121399283,250
M5_team_type_static_gate_0.656,0.010262365520000457,-0.000674584979563954,0.021968795213848345,250
M5_team_type_static_gate_0.7,0.009136882722377776,-0.002110351568460466,0.02102098247557877,250
MOracle_perfect_gate,0.040062904149293886,0.027067014075070606,0.055456312922388284,250
