confidence_bucket,n,mean_baseline_top1,mean_delta_cosine,pct_improved,pct_worsened
"(0.323, 0.614]",50,0.5182307547330857,0.015367657206952559,54.0,40.0
"(0.614, 0.738]",50,0.6892526817321777,0.0061350725591182605,48.0,40.0
"(0.738, 0.841]",50,0.7959658443927765,0.023213308900594726,34.0,60.0
"(0.841, 0.945]",50,0.8944935286045075,0.0011981286853551883,46.0,50.0
"(0.945, 1.0]",50,0.9807104301452637,0.002237145006656651,40.0,52.0
