cutoff,mean_simulated_delta,frac_gate_open,pct_improved,pct_worsened
0.3237967491149902,0.0,0.0,0.0,0.0
0.34070183336734766,-5.78162670135496e-05,0.004,0.0,0.4
0.35760691761970514,0.0004022215604782104,0.008,0.4,0.4
0.3745120018720626,0.0020928965806961057,0.016,1.2,0.4
0.3914170861244201,0.002094961047172546,0.02,1.6,0.4
0.4083221703767776,0.002094961047172546,0.024,1.6,0.4
0.4252272546291351,0.00023074734210967973,0.032,2.0,0.8
0.44213233888149256,0.00023074734210967973,0.036,2.0,0.8
0.45903742313385004,0.00023074734210967973,0.04,2.0,0.8
0.4759425073862075,0.003839770555496216,0.044,2.4,0.8
0.492847591638565,0.004036642909049988,0.06,3.5999999999999996,1.2
0.5097526758909225,0.0038481742143630982,0.068,3.5999999999999996,1.6
0.52665776014328,0.0031004382371902467,0.092,4.8,2.8000000000000003
0.5435628443956375,0.002077550053596497,0.112,4.8,4.0
0.560467928647995,0.0021224657297134403,0.124,5.2,4.3999999999999995
0.5773730129003525,0.0016820095777511602,0.144,5.6000000000000005,5.2
0.59427809715271,0.0006341360807418819,0.176,6.4,6.0
0.6111831814050674,0.0005399856567382813,0.196,7.199999999999999,6.800000000000001
0.6280882656574249,-0.00019120144844055176,0.216,7.6,7.199999999999999
0.6449933499097824,-0.00019814491271972657,0.22,7.6,7.6
0.6618984341621399,0.000751685619354248,0.244,8.799999999999999,8.0
0.6788035184144974,0.0014660358428955078,0.28,9.6,9.2
0.6957086026668549,0.0014660358428955078,0.312,9.6,9.2
0.7126136869192123,0.00038854765892028806,0.344,10.0,9.6
0.7295187711715698,-0.0017223833203315734,0.376,11.200000000000001,10.8
0.7464238554239273,-0.0010025492310523987,0.408,12.0,12.0
0.7633289396762848,-0.001682614862918853,0.432,12.0,13.600000000000001
0.7802340239286423,0.0026089901030063633,0.468,14.399999999999999,14.000000000000002
0.7971391081809998,0.004090279489755629,0.496,16.0,14.399999999999999
0.8140441924333572,0.008627526015043257,0.528,17.599999999999998,15.2
0.8309492766857147,0.012542793959379196,0.584,20.4,15.6
0.8478543609380722,0.012475853890180588,0.62,21.2,16.400000000000002
0.8647594451904297,0.012426241844892503,0.648,21.2,17.2
0.8816645294427872,0.012218750923871993,0.688,22.8,18.4
0.8985696136951447,0.012180622786283493,0.708,23.200000000000003,18.8
0.9154746979475021,0.011953072756528854,0.736,24.0,20.0
0.9323797821998596,0.011920632332563401,0.756,24.0,20.4
0.9492848664522171,0.011965715497732163,0.8,25.2,21.2
0.9661899507045746,0.011093650788068772,0.856,26.400000000000002,23.599999999999998
0.9830950349569321,0.009708844870328904,0.9,27.200000000000003,26.0
1.0000001192092896,0.00904618403315544,0.984,28.799999999999997,28.4
