method,mean_delta,ci_lo,ci_hi,n
baseline,0.0,0.0,0.0,250
M1_global_feedback,0.004001443475484854,-0.016844203219562762,0.025285889759659754,250
M2_team_only_feedback,0.003079805083572869,-0.018542973263375447,0.026586270425654947,250
M3_type_only_feedback,-0.0016061934977769897,-0.021276369578391317,0.01773309315890073,250
M4_team_type_feedback,0.01034639772772789,-0.006365382783859966,0.028603486578166464,250
M5_team_type_static_gate_0.62,-0.00019120144844055176,-0.009649029931426049,0.01001711948662996,250
M5_team_type_static_gate_0.656,0.00036714029312133787,-0.008761121383309364,0.011240363432466972,250
M5_team_type_static_gate_0.7,0.0014660358428955078,-0.008169488012790679,0.012143470089137545,250
MOracle_perfect_gate,0.0329308439195156,0.01979601790159939,0.04858304002881047,250
