method,n,mean_method_cosine,mean_delta_cosine,pct_improved,pct_worsened,pct_unchanged,mean_delta_rouge,mean_delta_bertscore
baseline,250,0.6909707009494305,0.0,0.0,0.0,100.0,0.0,0.0
M1_global_feedback,250,0.6949721444249153,0.004001443475484854,45.6,45.6,8.799999999999999,-0.0025431072729135166,0.0007148003578186053
M2_team_only_feedback,250,0.6941422306671738,0.003079805083572869,40.0,47.599999999999994,12.4,-0.00025593303502168576,0.0014693408012390141
M3_type_only_feedback,250,0.689456232085824,-0.0016061934977769897,47.199999999999996,40.0,12.8,-0.02193470243266126,-0.0022672061920165935
M4_team_type_feedback,250,0.7014088233113289,0.01034639772772789,29.599999999999998,28.4,42.0,0.0015682192240159605,0.0012072935104370135
M5_team_type_static_gate_0.62,250,0.6908712241351604,-0.00019120144844055176,7.6,7.199999999999999,85.2,-0.008653425454196242,-0.0006048140525817862
M5_team_type_static_gate_0.656,250,0.6914295658767223,0.00036714029312133787,8.0,8.0,84.0,-0.008484775753848258,-0.0005910196304321278
M5_team_type_static_gate_0.7,250,0.6925284614264965,0.0014660358428955078,9.6,9.2,81.2,-0.0054113666844515405,-4.493069648742521e-05
MOracle_perfect_gate,250,0.7239932695031166,0.0329308439195156,29.599999999999998,0.0,70.39999999999999,0.031504053149652364,0.005656910896301267
