confidence_bucket,n,mean_baseline_top1,mean_delta_cosine,pct_improved,pct_worsened
"(0.323, 0.614]",50,0.5182307547330857,-0.016885633096098904,42.0,46.0
"(0.614, 0.738]",50,0.6892526817321777,-0.012713372111320502,52.0,30.0
"(0.738, 0.841]",50,0.7959658443927765,0.047414423078298566,54.0,34.0
"(0.841, 0.945]",50,0.8944935286045075,-0.017184295058250424,42.0,46.0
"(0.945, 1.0]",50,0.9807104301452637,-0.008662090301513674,46.0,44.0
