method,mean_delta,ci_lo,ci_hi,n
baseline,0.0,0.0,0.0,250
M1_global_feedback,0.011950111612677568,-0.008425737489759924,0.033186215732991686,250
M2_team_only_feedback,0.01000388181209564,-0.010022645261511207,0.032508653460070466,250
M3_type_only_feedback,0.005376933827996252,-0.01362947918958962,0.026795408936589948,250
M4_team_type_feedback,0.0025225495249032986,-0.01336509115099907,0.019568463614583014,250
M5_team_type_static_gate_0.62,0.0007951409816741944,-0.006805151055380702,0.008740939199924462,250
M5_team_type_static_gate_0.656,-0.00019722962379455566,-0.008172024570032951,0.00836345870457589,250
M5_team_type_static_gate_0.7,-0.0015699564218521114,-0.009831518493965269,0.006810634185001246,250
MOracle_perfect_gate,0.03098258590698241,0.01864149218089877,0.045589950205385664,250
