method,n,mean_method_cosine,mean_delta_cosine,pct_improved,pct_worsened,pct_unchanged,mean_delta_rouge,mean_delta_bertscore
baseline,250,0.6966191155016422,0.0,0.0,0.0,100.0,0.0,0.0
M1_global_feedback,250,0.7085692271143198,0.011950111612677568,49.2,41.6,9.2,0.007870199561373342,0.002347770929336547
M2_team_only_feedback,250,0.7066229973137379,0.01000388181209564,48.4,41.6,10.0,-0.0009129873660591969,0.0010875556468963603
M3_type_only_feedback,250,0.7019960493296384,0.005376933827996252,46.800000000000004,42.8,10.4,-0.008192423125334681,-0.0010919113159179672
M4_team_type_feedback,250,0.6991416650265455,0.0025225495249032986,30.4,29.599999999999998,40.0,-0.005553171906090811,-0.00018302083015441515
M5_team_type_static_gate_0.62,250,0.6974142564833165,0.0007951409816741944,6.4,6.800000000000001,86.8,-0.0010941428582570659,-5.625629425048673e-05
M5_team_type_static_gate_0.656,250,0.6964218858778477,-0.00019722962379455566,7.199999999999999,8.0,84.8,-0.0042322988501582465,-0.0005806057453155495
M5_team_type_static_gate_0.7,250,0.6950491590797901,-0.0015699564218521114,8.4,10.0,81.6,-0.007546184325729729,-0.001104954004287717
MOracle_perfect_gate,250,0.7276017014086247,0.03098258590698241,30.4,0.0,69.6,0.025336591171175676,0.005109348297119137
