confidence_bucket,n,mean_baseline_top1,mean_delta_cosine,pct_improved,pct_worsened
"(0.323, 0.614]",50,0.5182307547330857,0.023854522183537483,44.0,50.0
"(0.614, 0.738]",50,0.6892526817321777,-0.001379123181104665,52.0,42.0
"(0.738, 0.841]",50,0.7959658443927765,0.030579869225621222,48.0,40.0
"(0.841, 0.945]",50,0.8944935286045075,-0.004559776186943056,50.0,40.0
"(0.945, 1.0]",50,0.9807104301452637,0.001523917019367217,48.0,36.0
