cutoff,mean_simulated_delta,frac_gate_open,pct_improved,pct_worsened
0.3237967491149902,0.0,0.0,0.0,0.0
0.34070183336734766,-0.000148599863052368,0.004,0.0,0.4
0.35760691761970514,0.000557621955871582,0.008,0.4,0.4
0.3745120018720626,0.0013659868240356444,0.016,0.8,0.4
0.3914170861244201,0.001009846329689026,0.02,0.8,0.8
0.4083221703767776,0.001009846329689026,0.024,0.8,0.8
0.4252272546291351,0.0014017000198364262,0.032,1.2,1.2
0.44213233888149256,0.0014017000198364262,0.036,1.2,1.2
0.45903742313385004,0.0014017000198364262,0.04,1.2,1.2
0.4759425073862075,0.00381731291115284,0.044,1.6,1.2
0.492847591638565,0.004443042054772377,0.06,2.8000000000000003,1.6
0.5097526758909225,0.003949448600411415,0.068,2.8000000000000003,2.0
0.52665776014328,0.0037428314983844763,0.092,3.2,3.2
0.5435628443956375,0.005030268698930741,0.112,4.0,3.5999999999999996
0.560467928647995,0.003782359868288041,0.124,4.0,4.3999999999999995
0.5773730129003525,0.0023982012569904333,0.144,4.3999999999999995,5.2
0.59427809715271,0.001365385204553605,0.176,4.8,6.0
0.6111831814050674,0.0016377684175968175,0.196,6.0,6.4
0.6280882656574249,-0.0001326279640197754,0.216,6.4,7.199999999999999
0.6449933499097824,-0.0003732976913452144,0.22,6.4,7.6
0.6618984341621399,-0.0011983065605163574,0.244,7.6,8.4
0.6788035184144974,-0.001487438797950744,0.28,8.4,9.6
0.6957086026668549,-0.0015699564218521114,0.312,8.4,10.0
0.7126136869192123,-0.0017860637903213492,0.344,9.2,10.8
0.7295187711715698,0.00041452443599700905,0.376,11.200000000000001,11.600000000000001
0.7464238554239273,-0.0016862517595291127,0.408,12.0,13.200000000000001
0.7633289396762848,-0.002043114066123962,0.432,12.8,14.000000000000002
0.7802340239286423,0.0012831817418336871,0.468,14.399999999999999,15.2
0.7971391081809998,0.00019384320080280393,0.496,14.799999999999999,16.400000000000002
0.8140441924333572,0.004027356281876564,0.528,16.400000000000002,17.599999999999998
0.8309492766857147,0.006190501347184181,0.584,19.2,18.0
0.8478543609380722,0.006165067806839943,0.62,20.4,18.4
0.8647594451904297,0.006269951000809669,0.648,20.8,19.2
0.8816645294427872,0.00510876812040806,0.688,21.2,21.2
0.8985696136951447,0.0068747209459543235,0.708,22.0,21.2
0.9154746979475021,0.00540374554693699,0.736,22.400000000000002,22.8
0.9323797821998596,0.005428013935685159,0.756,22.8,22.8
0.9492848664522171,0.0033395651727914813,0.8,24.0,24.0
0.9661899507045746,0.003293918505311012,0.856,26.0,25.2
0.9830950349569321,0.0022056590467691424,0.9,28.000000000000004,26.8
1.0000001192092896,0.0022025274187326446,0.984,29.599999999999998,29.599999999999998
